Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Mahindra XUV 3XO AX7 Turbo AT,https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-ax7-turbo-at-cars-Kolkata_5eb66f83-e75e-4dbb-b980-31386c124a29.htm,11.66L,2025,"10,000 kms",Petrol,Automatic,"Mahestala, Kolkata","AI Expert
GREAT PRICE
1st owner, 10k km — history looks clean on this XUV 3XO.
1 year old, only 10k km — near-new in every sense.
Read full report",₹11.66 Lakh,"10,000 km
Below avg","EMI from ₹28,941/mo",Petrol,Automatic,1st Owner
Mahindra KUV 100 NXT G80 K2 Plus,https://www.cardekho.com/used-car-details/used-Mahindra-kuv-100-nxt-g80-k2-plus-cars-Kolkata_38aaf984-1895-44eb-afd0-853ac493a490.htm,2.90L,2020,"68,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
2nd owner, 68k km on this KUV 100 NXT — records look solid.
Simple to run, easy to park.
Read full report",₹2.90 Lakh,"68,000 km","EMI from ₹7,198/mo",Petrol,Manual,2nd Owner
Renault KWID 1.0 RXT 02 Anniversary Edition,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-02-anniversary-edition-cars-Kolkata_d6d92127-e259-4bc7-83f8-1f5a18211acf.htm?adId=32802&adType=41,2.49L,2018,"37,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 37k km — history is traceable on this KWID.
Price dropped ₹16k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"37,000 km","EMI from ₹6,181/mo",Petrol,Manual,1st Owner
Toyota Fortuner 2.8 2WD MT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-2wd-mt-bsiv-cars-Kolkata_24885486-077d-47c0-9fbe-e3b787b31e2c.htm,21.50L,2017,"1,12,000 kms",Diesel,Manual,"Cornelia Sorabji Road, Maidan, B.B.D. Bagh, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering — 112k km on this Fortuner.
Simple to run, easy to park.
Read full report",₹21.50 Lakh,"1,12,000 km","EMI from ₹66,605/mo",Diesel,Manual,1st Owner
Renault KWID 1.0 RXT,https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-cars-Kolkata_349cb9a0-4997-4a7b-a108-87888a89207c.htm,2.50L,2017,"17,000 kms",Petrol,Manual,"Lake Market, Kolkata","AI Expert
FAIR PRICE
1st owner, no accident, 17k km — records look solid on this KWID.
Simple to run, easy to park.
Read full report",₹2.50 Lakh,"17,000 km
Below avg","EMI from ₹7,745/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 1.2 Kappa Sportz Option AT,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-option-at-cars-Kolkata_da078a19-bc3a-42da-bb11-c62fcfd14f38.htm,3.60L,2017,"34,000 kms",Petrol,Automatic,"Rash Behari Avenue, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km — history is traceable on this Grand i10.
Hyundai has a wide service network across India.
Read full report",₹3.60 Lakh,"34,000 km
Below avg","EMI from ₹11,153/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
MG Hector Savvy Pro CVT 2023-2025,https://www.cardekho.com/used-car-details/used-Mg-hector-savvy-pro-cvt-2023-2025-cars-Kolkata_e22148c3-b085-4d15-bf57-7e30bc53b534.htm,14.50L,2023,"27,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, no accident — ₹2.1L below what similar Hectors sell for.
₹2.1L below what similar Hectors sell for.
Read full report",₹14.50 Lakh,"27,000 km
Below avg","EMI from ₹35,990/mo",Petrol,Automatic,1st Owner
Maruti Suzuki XL6 Zeta,https://www.cardekho.com/used-car-details/used-Maruti-xl6-zeta-cars-Kolkata_e757d29f-5b4f-43fa-85d5-1de58b386c08.htm,9.50L,2023,"38,000 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — history is traceable on this XL6.
Comprehensive insurance — valid till March 2027.
Read full report",₹9.50 Lakh,"38,000 km","EMI from ₹23,580/mo",Petrol,Manual,1st Owner
Hyundai Aura SX Plus AMT Diesel,https://www.cardekho.com/used-car-details/used-Hyundai-aura-sx-plus-amt-diesel-cars-Kolkata_62b04f36-7273-4675-96c3-a5f9258f959a.htm,6.15L,2021,"51,460 kms",Diesel,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, km flagged — clean records on this Aura.
Hyundai has a wide service network across India.
Read full report",₹6.15 Lakh,"51,460 km","EMI from ₹15,268/mo",Diesel,Automatic,1st Owner
Tata Safari Accomplished Plus,https://www.cardekho.com/used-car-details/used-Tata-safari-accomplished-plus-cars-Kolkata_3527661d-988a-4708-ab96-b6c3c83c0c2a.htm?adId=32985&adType=41,16L,2023,"86,000 kms",Diesel,Manual,"Khiddirpore, Kolkata","AI Expert
FAIR PRICE
1st owner, no odometer tampering, 86k km on this Safari.
Tata has a wide service network and reliable after-sales support.
Read full report",₹16 Lakh,"86,000 km","EMI from ₹39,713/mo",Diesel,Manual,1st Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_fcf818a1-2188-4b3d-ac3b-4d63417060f7.htm,3.20L,2014,"60,000 kms",Petrol,Manual,"Baghbazar, Kolkata","AI Expert
FAIR PRICE
3rd owner, 60k km on this Polo — key checks pass.
Simple to run, easy to park.
Read full report",₹3.20 Lakh,"60,000 km",,Petrol,Manual,3rd Owner
Tata Nexon XZA Plus HS AMT,https://www.cardekho.com/used-car-details/used-Tata-nexon-xza-plus-hs-amt-cars-Kolkata_41cd753f-3fbe-42cf-94d0-f5ebf01bfcd4.htm,8.50L,2022,"10,000 kms",Petrol,Automatic,"Haltu, Kolkata","AI Expert
FAIR PRICE
1st owner, no tampering, 10k km — history is traceable on this Nexon.
Only 10k km — lower than 88% of similar Nexons on CarDekho.
Read full report",₹8.50 Lakh,"10,000 km
Below avg","EMI from ₹21,098/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Ciaz 1.3 Alpha,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-13-alpha-cars-Kolkata_b20fa1de-9ac5-4156-95d6-7024eefed975.htm,5.50L,2017,"1,20,000 kms",Diesel,Manual,"Salt Lake City, Kolkata","AI Expert
ABOVE MARKET
1st owner, 120k km — ownership looks clean on this Ciaz.
Maruti service is available in almost every city and town.
Read full report",₹5.50 Lakh,"1,20,000 km","EMI from ₹17,039/mo",Diesel,Manual,1st Owner
Mahindra Scorpio S10 8 Seater,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s10-8-seater-cars-Kolkata_75a3ac82-58d1-4b69-af6f-628b058c7a54.htm?adId=32927&adType=41,8.25L,2016,"38,000 kms",Diesel,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 38k km on this Scorpio — papers look clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹8.25 Lakh,"38,000 km","EMI from ₹35,831/mo",Diesel,Manual,1st Owner
Maruti Suzuki Brezza VXi BSVI,https://www.cardekho.com/used-car-details/used-Maruti-brezza-vxi-bsvi-cars-Kolkata_6e4022b5-c8fc-4d6f-934c-b335e5833e01.htm,6.50L,2022,"39,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 39k km — documents are clean on this Brezza.
₹1.1L below what similar Brezzas sell for.
Read full report",₹6.50 Lakh,"39,000 km
Below avg","EMI from ₹16,134/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift ZXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-cars-Kolkata_2ebb8a99-3e92-45ce-b2ba-9d02dcabc6ae.htm,2.60L,2012,"60,000 kms",Petrol,Manual,"Narendrapur, Kolkata","AI Expert
GREAT PRICE
2nd owner, 60k km — papers are clean on this Swift.
Simple to run, easy to park.
Read full report",₹2.60 Lakh,"60,000 km",,Petrol,Manual,2nd Owner
Honda Amaze V,https://www.cardekho.com/used-car-details/used-Honda-amaze-v-cars-Kolkata_bd0dc133-3eeb-4043-aa5a-5cc32b0d2fd8.htm,6.50L,2024,"20,924 kms",Petrol,Manual,"Beleghata, Kolkata","AI Expert
BELOW MARKET
1st owner, 21k km — key checks pass on this Amaze.
Comprehensive insurance — valid till May 2027.
Read full report",₹6.50 Lakh,"20,924 km
Below avg","EMI from ₹16,134/mo",Petrol,Manual,1st Owner
Hyundai i10 Magna 1.1L,https://www.cardekho.com/used-car-details/used-Hyundai-i10-magna-11l-cars-Kolkata_3a0aa2bf-79a4-4754-afbd-ed1b69073f2f.htm?adId=32163&adType=41,2.25L,2015,"15,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
BELOW MARKET
1st owner, 15k km, no accident on this i10 — papers are clean.
Only 15k km — lower than 96% of similar i10s on CarDekho.
Read full report",₹2.25 Lakh,"15,000 km
Below avg","EMI from ₹18,230/mo",Petrol,Manual,1st Owner
Hyundai Xcent Petrol,https://www.cardekho.com/used-car-details/used-Hyundai-xcent-petrol-cars-Kolkata_7b220d77-77d4-4705-b444-d7dc183447d9.htm,3.24L,2017,"52,949 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 53k km — ownership is clean on this Xcent.
300-point inspection done. Warranty included.
Read full report",₹3.24 Lakh,"52,949 km","EMI from ₹10,025/mo",Petrol,Manual,1st Owner
Honda WR-V i-VTEC VX,https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-vtec-vx-cars-Kolkata_c07cadc1-91dc-43c6-a116-656280466034.htm,4.50L,2018,"34,000 kms",Petrol,Manual,"Unnamed Road, Nehali, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering, 34k km — records look solid on this WR-V.
Simple to run, easy to park.
Read full report",₹4.50 Lakh,"34,000 km
Below avg","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_49db83b1-7347-49d9-9cb8-5d247115c9c6.htm,2.35L,2015,"27,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 27k km — documents are clear on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.35 Lakh,"27,000 km
Below avg","EMI from ₹19,040/mo",Petrol,Manual,1st Owner
Jeep Compass 2.0 Limited 4X4,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-4x4-cars-Kolkata_acc9a013-6787-4bd8-9c51-f96295f63d7c.htm?adId=31987&adType=41,7.40L,2018,"48,000 kms",Diesel,Manual,"Middleton Row, Kolkata","AI Expert
GREAT PRICE
2nd owner, 48k km on this Compass — key checks pass.
Simple to run, easy to park.
Read full report",₹7.40 Lakh,"48,000 km","EMI from ₹18,367/mo",Diesel,Manual,2nd Owner
MG Hector Sharp AT BSIV,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-at-bsiv-cars-Kolkata_84375744-11cb-49cb-9cb3-1428f6dfc56d.htm,10.50L,2021,"16,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 16k km, no accident — history looks solid on this Hector.
Only 16k km — lower than 92% of similar Hectors on CarDekho.
Read full report",₹10.50 Lakh,"16,000 km
Below avg","EMI from ₹26,062/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_79c0de19-9b44-4c39-9af4-801e0fae0317.htm,2.80L,2016,"30,000 kms",Petrol,Manual,"Haridevpur, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km — history looks clear on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.80 Lakh,"30,000 km","EMI from ₹12,159/mo",Petrol,Manual,1st Owner
Honda Amaze VX O i VTEC,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-o-i-vtec-cars-Kolkata_16cb6a61-5725-487e-a89b-1d5778a57132.htm,2.35L,2015,"60,000 kms",Petrol,Manual,"Haridevpur, Kolkata","AI Expert
BELOW MARKET
3rd owner, 60k km — key checks pass on this Amaze.
Honda engines are known to last well over high km.
Read full report",₹2.35 Lakh,"60,000 km","EMI from ₹19,040/mo",Petrol,Manual,3rd Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_2fe51fed-7730-4881-89fe-8eb0c5295be7.htm?adId=32801&adType=41,2.49L,2013,"44,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
2nd owner, 44k km — papers are clean on this Polo.
Price dropped ₹50k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"44,000 km
Below avg",,Petrol,Manual,2nd Owner
Maruti Suzuki Celerio ZXI Optional,https://www.cardekho.com/used-car-details/used-Maruti-celerio-zxi-optional-cars-Kolkata_fb25f308-1f03-4ade-84ad-de431467ff0f.htm,4.25L,2021,"45,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — documents are clean on this Celerio.
Maruti service is easy to find.
Read full report",₹4.25 Lakh,"45,000 km","EMI from ₹10,549/mo",Petrol,Manual,1st Owner
Nissan Magnite XV,https://www.cardekho.com/used-car-details/used-Nissan-magnite-xv-cars-Kolkata_87b45bed-1179-4e07-a92e-b4215afa91a1.htm,4.61L,2022,"33,606 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
2nd owner, 34k km — papers are clean on this Magnite.
300-point inspection done. Warranty included.
Read full report",₹4.61 Lakh,"33,606 km
Below avg","EMI from ₹11,446/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Ciaz VXi Plus,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-vxi-plus-cars-Kolkata_88273ed4-db2f-40d2-9415-738d642f7583.htm,3.35L,2014,"59,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 59k km — papers are clean on this Ciaz.
Maruti service is available in almost every city and town.
Read full report",₹3.35 Lakh,"59,000 km",,Petrol,Manual,1st Owner
