Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Skoda Octavia Laurin and Klement,https://www.cardekho.com/used-car-details/used-Skoda-octavia-laurin-and-klement-cars-Kolkata_7782fee9-2c74-48fa-ae98-50e9cd6e731e.htm,17.31L,2021,"62,898 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 63k km — papers look clean on this Octavia.
300-point inspection done. Warranty included.
Read full report",₹17.31 Lakh,"62,898 km","EMI from ₹42,971/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Celerio H2,https://www.cardekho.com/used-car-details/used-Maruti-celerio-h2-cars-Kolkata_e76266ba-0190-4cf3-9e88-7cebf30cfae3.htm,2.50L,2020,"1,00,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
2nd owner, 100k km on this Celerio — records look solid.
Simple to run, easy to park.
Read full report",₹2.50 Lakh,"1,00,000 km","EMI from ₹6,206/mo",Petrol,Manual,2nd Owner
Mahindra XUV700 AX5 7 Str BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-bsvi-cars-Kolkata_43744a0b-5775-4ceb-9174-9d68044130b0.htm?adId=32586&adType=41,11.90L,2022,"32,355 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 32k km — documents are clean on this XUV700.
₹1.2L below what similar XUV700s sell for.
Read full report",₹11.90 Lakh,"32,355 km
Below avg","EMI from ₹29,536/mo",Petrol,Manual,1st Owner
Hyundai i20 Sportz Petrol,https://www.cardekho.com/used-car-details/used-Hyundai-i20-sportz-petrol-cars-Kolkata_393a8fee-83e9-492a-b78f-681b022bca6a.htm,1.81L,2012,"58,478 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
BELOW MARKET
1st owner, 58k km — insurance and fitness need a look.
300-point inspection done. Warranty included.
Read full report",₹1.81 Lakh,"58,478 km",,Petrol,Manual,1st Owner
Tata Nexon XZA Plus LUX Dark Edition AMT,https://www.cardekho.com/buy-used-car-details/used-Tata-nexon-xza-plus-lux-dark-edition-amt-cars-Kolkata_a524445b-9146-46d0-bc95-d651eed872bd.htm,8.19L,2023,"23,369 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 23k km — key checks pass on this Nexon.
Price dropped ₹2.9L — now at ₹8.2L.
Read full report",₹8.19 Lakh,"23,369 km
Below avg","EMI from ₹20,319/mo",Petrol,Automatic,1st Owner
Skoda Kushaq 1.0L Signature,https://www.cardekho.com/used-car-details/used-Skoda-kushaq-10l-signature-cars-Kolkata_1f049b8d-91a1-4064-aa8a-8b11d4a888b7.htm,11.34L,2025,"2,556 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 3k km, no accident — records look solid on this Kushaq.
1 year old, only 3k km — near-new in every sense.
Read full report",₹11.34 Lakh,"2,556 km
Below avg","EMI from ₹28,152/mo",Petrol,Manual,1st Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
Hyundai i10 Sportz 1.1L,https://www.cardekho.com/used-car-details/used-Hyundai-i10-sportz-11l-cars-Kolkata_2b473249-5914-419a-818d-34b75f73820e.htm,2.90L,2017,"24,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
BELOW MARKET
1st owner, 24k km — records look solid on this i10.
Simple to run, easy to park.
Read full report",₹2.90 Lakh,"24,000 km
Below avg","EMI from ₹8,984/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 Sportz,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-sportz-cars-Kolkata_77a53483-f90e-475c-84a6-378e1d53f66d.htm,3.45L,2017,"18,690 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — records look solid on this Grand i10.
Only 19k km — lower than 90% of similar Grand i10s on CarDekho.
Read full report",₹3.45 Lakh,"18,690 km
Below avg","EMI from ₹10,688/mo",Petrol,Manual,1st Owner
Skoda Rapid 1.6 MPI AT Elegance,https://www.cardekho.com/used-car-details/used-Skoda-rapid-16-mpi-at-elegance-cars-Kolkata_74744c94-b350-431d-bbe7-e7e995a0b5f5.htm,4.55L,2016,"48,269 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
ABOVE MARKET
1st owner, 48k km — papers are clean on this Rapid.
Simple to run, easy to park.
Read full report",₹4.55 Lakh,"48,269 km","EMI from ₹19,759/mo",Petrol,Automatic,1st Owner
Mahindra Scorpio S10 8 Seater,https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s10-8-seater-cars-Kolkata_75a3ac82-58d1-4b69-af6f-628b058c7a54.htm?adId=32927&adType=41,8.25L,2016,"38,000 kms",Diesel,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 38k km on this Scorpio — papers look clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",,,,,,
Hyundai i10 Sportz,https://www.cardekho.com/used-car-details/used-Hyundai-i10-sportz-cars-Kolkata_b45feae1-95ac-4da8-a1ed-bcaf17f255c0.htm,1.65L,2010,"50,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
2nd owner, 50k km on this i10 — ownership details are clear.
Hyundai has a wide service network across India.
Read full report",₹1.65 Lakh,"50,000 km",,Petrol,Manual,2nd Owner
Mahindra Thar LX 4WD Hard Top BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-bsvi-cars-Kolkata_b7837f7a-7dd0-4006-9ace-8d10366ca35b.htm,8.95L,2021,"8,520 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 9k km, no accident — key checks pass on this Thar.
Price dropped ₹17k — now at ₹8.9L.
Read full report",₹8.95 Lakh,"8,520 km
Below avg","EMI from ₹22,213/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI 1.2,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-12-cars-Kolkata_d8c70599-5ad0-4225-b38a-e7f514e40768.htm,2.53L,2016,"72,165 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
BELOW MARKET
2nd owner, 72k km — key checks pass on this Wagon R.
Comprehensive insurance — valid till May 2027.
Read full report",₹2.53 Lakh,"72,165 km","EMI from ₹10,987/mo",Petrol,Manual,2nd Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm?adId=29891&adType=41,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata","AI Expert
GREAT PRICE
2nd owner, 40k km — papers are clean on this A Class.
Simple to run, easy to park.
Read full report",₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Honda Brio 1.2 S Option MT,https://www.cardekho.com/used-car-details/used-Honda-brio-12-s-option-mt-cars-Kolkata_6c679104-bfbe-4ee5-841c-0734f6cc5d57.htm,3.45L,2018,"24,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
GREAT PRICE
1st owner, 24k km — history looks solid on this Brio.
Price dropped ₹5k — now at ₹3.5L.
Read full report",₹3.45 Lakh,"24,000 km
Below avg","EMI from ₹8,563/mo",Petrol,Manual,1st Owner
Kia Seltos HTX G,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-g-cars-Kolkata_49ee3351-1116-4658-9aee-5a8fecea3d73.htm,7L,2020,"45,915 kms",Petrol,Manual,"University, Kolkata","AI Expert
BELOW MARKET
1st owner, 46k km, no accident — records look solid on this Seltos.
300-point inspection done. Warranty included.
Read full report",₹7 Lakh,"45,915 km","EMI from ₹17,383/mo",Petrol,Manual,1st Owner
Maruti Suzuki Ritz VDi,https://www.cardekho.com/buy-used-car-details/used-Maruti-ritz-vdi-cars-Kolkata_ba8dc4a4-6150-4839-8f3d-7edd0d16ce7a.htm,2.52L,2013,"65,378 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 65k km, insurance flagged — papers are clean on this Ritz.
300-point inspection done. Warranty included.
Read full report",₹2.52 Lakh,"65,378 km",,Diesel,Manual,1st Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm?adId=30705&adType=41,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 110k km — history is traceable on this Polo.
Simple to run, easy to park.
Read full report",₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Hyundai Alcazar Prestige Turbo 7 Seater,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-prestige-turbo-7-seater-cars-Kolkata_94d17b69-fb3f-4ec3-821a-e12c32ec6969.htm,13.45L,2024,"15,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
BELOW MARKET
1st owner, 15k km — ownership is clean on this Alcazar.
2 year old, only 15k km — near-new in every sense.
Read full report",₹13.45 Lakh,"15,000 km
Below avg","EMI from ₹33,384/mo",Petrol,Manual,1st Owner
Maruti Suzuki Zen Estilo VXI BSIV,https://www.cardekho.com/used-car-details/used-Maruti-zen-estilo-vxi-bsiv-cars-Kolkata_159faacd-af54-4e4c-b698-9ad8e9f119c1.htm,1.56L,2012,"78,872 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 79k km — papers are clean on this Zen Estilo.
300-point inspection done. Warranty included.
Read full report",₹1.56 Lakh,"78,872 km",,Petrol,Manual,2nd Owner
Tata Nexon Creative AMT,https://www.cardekho.com/used-car-details/used-Tata-nexon-creative-amt-cars-Kolkata_d6a1f684-1966-4d94-9579-b9d45d8f1ad9.htm,8.61L,2024,"21,687 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — documents are clean on this Nexon.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹8.61 Lakh,"21,687 km
Below avg","EMI from ₹21,364/mo",Petrol,Automatic,1st Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm?adId=30843&adType=41,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata","AI Expert
GREAT PRICE
1st owner, 120k km — ownership is clean on this Fortuner.
Simple to run, easy to park.
Read full report",₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Alto K10 VXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-cars-Kolkata_c1a4e7fa-db3e-45fc-af20-256b6402994e.htm,1.85L,2014,"34,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
2nd owner, 34k km — papers are clean on this Alto K10.
Comprehensive insurance — valid till February 2027.
Read full report",₹1.85 Lakh,"34,000 km
Below avg",,Petrol,Manual,2nd Owner
Maruti Suzuki Grand Vitara Alpha Plus Hybrid CVT,https://www.cardekho.com/buy-used-car-details/used-Maruti-grand-vitara-alpha-plus-hybrid-cvt-cars-Kolkata_c6f1c9da-f624-47ba-b1c2-75ad3410b706.htm,15.40L,2024,"11,105 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 11k km — documents are clean on this Grand Vitara.
2 year old, only 11k km — near-new in every sense.
Read full report",₹15.40 Lakh,"11,105 km
Below avg","EMI from ₹38,214/mo",Petrol,Automatic,1st Owner
Volkswagen Virtus GT Plus DSG,https://www.cardekho.com/used-car-details/used-Volkswagen-virtus-gt-plus-dsg-cars-Kolkata_0472cef0-e031-451e-b074-c761e7bb5768.htm,14.95L,2024,"25,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 25k km — history is traceable on this Virtus.
Only 2 years old — near-new at used-car pricing.
Read full report",₹14.95 Lakh,"25,000 km
Below avg","EMI from ₹37,107/mo",Petrol,Automatic,1st Owner
Tata Tiago XT,https://www.cardekho.com/used-car-details/used-Tata-tiago-xt-cars-Kolkata_9510fa9d-3dd6-4f1b-ace1-f87354f1876c.htm?adId=32521&adType=41,5.55L,2023,"45,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — records look solid on this Tiago.
Simple to run, easy to park.
Read full report",₹5.55 Lakh,"45,000 km","EMI from ₹13,776/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI 1.2,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-12-cars-Kolkata_e64633b0-f5c2-495f-9e96-df3a62f47687.htm,3.54L,2018,"36,127 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 36k km — history looks clean on this Wagon R.
300-point inspection done. Warranty included.
Read full report",₹3.54 Lakh,"36,127 km
Below avg","EMI from ₹8,790/mo",Petrol,Manual,1st Owner
Mahindra Thar LX 4WD Hard Top AT BSVI,https://www.cardekho.com/buy-used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-Kolkata_e03989fb-d7ed-4bd9-8ac9-bea2135e9652.htm,10.30L,2023,"8,873 kms",Petrol,Automatic,"University, Kolkata","AI Expert
BELOW MARKET
2nd owner, 9k km — papers are clean on this Thar.
Only 9k km — lower than 96% of similar Thars on CarDekho.
Read full report",₹10.30 Lakh,"8,873 km
Below avg","EMI from ₹25,565/mo",Petrol,Automatic,2nd Owner
Hyundai Creta SX IVT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-ivt-cars-Kolkata_79c4f041-9c90-4725-bc33-54b83392fd29.htm,11.70L,2023,"38,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — history is traceable on this Creta.
Hyundai has a wide service network across India.
Read full report",₹11.70 Lakh,"38,000 km","EMI from ₹29,040/mo",Petrol,Automatic,1st Owner
Mahindra XUV500 AT W10 FWD,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-at-w10-fwd-cars-Kolkata_ebea6311-80c6-467e-8585-7832775ad19d.htm?adId=32089&adType=41,6.90L,2016,"74,000 kms",Diesel,Automatic,"Baranagar, Kolkata","AI Expert
GREAT PRICE
2nd owner, 74k km, fitness verified — records look solid on this XUV500.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹6.90 Lakh,"74,000 km","EMI from ₹29,963/mo",Diesel,Automatic,2nd Owner
Hyundai i20 1.2 Asta,https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-asta-cars-Kolkata_bcb3884d-859e-4c65-b074-b0347d6bd704.htm,4.42L,2018,"57,345 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 57k km — history looks solid on this i20.
300-point inspection done. Warranty included.
Read full report",₹4.42 Lakh,"57,345 km","EMI from ₹10,971/mo",Petrol,Manual,1st Owner
Maruti Suzuki Ertiga VDI,https://www.cardekho.com/used-car-details/used-Maruti-ertiga-vdi-cars-Kolkata_fb69cfdd-3785-4762-b934-7836eb45d7f2.htm,4.20L,2014,"79,000 kms",Diesel,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
2nd owner, 79k km — key checks pass on this Ertiga.
Simple to run, easy to park.
Read full report",₹4.20 Lakh,"79,000 km",,Diesel,Manual,2nd Owner
Maruti Suzuki Baleno Zeta Diesel,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-diesel-cars-Kolkata_022ee89f-78ba-4cf6-9daf-65eb3dd183d8.htm,3.65L,2016,"73,250 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
BELOW MARKET
1st owner, 73k km — papers are clean on this Baleno.
300-point inspection done. Warranty included.
Read full report",₹3.65 Lakh,"73,250 km","EMI from ₹15,850/mo",Diesel,Manual,1st Owner
Hyundai Verna SX IVT,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-ivt-cars-Kolkata_d6580d62-d1d5-455f-8290-ddacd8f7e028.htm?adId=25758&adType=41,12.95L,2024,"5,700 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 6k km — documents are clean on this Verna.
Price dropped ₹50k — now at ₹12.9L.
Read full report",₹12.95 Lakh,"5,700 km
Below avg","EMI from ₹32,143/mo",Petrol,Automatic,1st Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Hyundai Creta EX,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-ex-cars-Kolkata_a8b18326-9a5e-4949-8848-7c45c1d49b84.htm,7.55L,2022,"25,804 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident — 26k km is normal for this 4-year Creta.
300-point inspection done. Warranty included.
Read full report",₹7.55 Lakh,"25,804 km
Below avg","EMI from ₹18,729/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Wagon R ZXI Plus,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-zxi-plus-cars-Kolkata_03807f99-e6e7-470d-ade3-75eeb03e2eb8.htm,5.62L,2024,"11,262 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 11k km — history looks solid on this Wagon R.
2 year old, only 11k km — near-new in every sense.
Read full report",₹5.62 Lakh,"11,262 km
Below avg","EMI from ₹13,939/mo",Petrol,Manual,1st Owner
Kia Seltos HTK Plus D,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-htk-plus-d-cars-Kolkata_79670b9d-e8e7-4c0f-8a4b-d6269f11561c.htm,6.88L,2020,"87,223 kms",Diesel,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 87k km — key checks pass on this Seltos.
Price dropped ₹22k — now at ₹6.9L.
Read full report",₹6.88 Lakh,"87,223 km","EMI from ₹17,077/mo",Diesel,Manual,1st Owner
Volkswagen Polo Diesel Comfortline 1.2L,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-diesel-comfortline-12l-cars-Kolkata_65a2603e-504a-4e17-8aa0-e8ed257d0a7d.htm?adId=31243&adType=41,1.80L,2013,"58,000 kms",Diesel,Manual,"Alipore, Kolkata","AI Expert
GREAT PRICE
2nd owner, 58k km on this Polo — records look solid.
Simple to run, easy to park.
Read full report",₹1.80 Lakh,"58,000 km",,Diesel,Manual,2nd Owner
Maruti Suzuki S-Presso VXi Plus (O),https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-plus-o-cars-Kolkata_1dc00821-f561-43f4-94d2-d6f7bb3d000f.htm,3.79L,2023,"15,925 kms",Petrol,Manual,"University, Kolkata","AI Expert
BELOW MARKET
1st owner, 16k km — history is traceable on this S-Presso.
Price dropped ₹14k — now at ₹3.8L.
Read full report",₹3.79 Lakh,"15,925 km
Below avg","EMI from ₹9,415/mo",Petrol,Manual,1st Owner
Volkswagen Ameo 1.2 MPI Trendline,https://www.cardekho.com/used-car-details/used-Volkswagen-ameo-12-mpi-trendline-cars-Kolkata_29577732-5d32-4102-b756-7650df6da6b5.htm,2.74L,2017,"1,11,912 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 112k km — records look solid on this Ameo.
Price dropped ₹12k — now at ₹2.7L.
Read full report",₹2.74 Lakh,"1,11,912 km","EMI from ₹8,477/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno Zeta,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cars-Kolkata_07eb67ad-f6f9-4026-bfca-fdac9d9b490a.htm,7.47L,2025,"5,096 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 5k km — history is traceable on this Baleno.
1 year old, only 5k km — near-new in every sense.
Read full report",₹7.47 Lakh,"5,096 km
Below avg","EMI from ₹18,545/mo",Petrol,Manual,1st Owner
Tata Punch Adventure Rhythm BSVI,https://www.cardekho.com/used-car-details/used-Tata-punch-adventure-rhythm-bsvi-cars-Kolkata_390b6d72-6134-4ce7-bb07-311dbc24516f.htm?adId=32630&adType=41,6.56L,2023,"7,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
1st owner, 7k km — history looks solid on this Punch.
Only 7k km — lower than 98% of similar Punchs on CarDekho.
Read full report",₹6.56 Lakh,"7,000 km
Below avg","EMI from ₹16,283/mo",Petrol,Manual,1st Owner
Hyundai Santro Sportz BSIV,https://www.cardekho.com/buy-used-car-details/used-Hyundai-santro-sportz-bsiv-cars-Kolkata_8eb08704-acab-4c72-827a-fb57fc925153.htm,2.71L,2019,"79,260 kms",Petrol,Manual,"University, Kolkata","AI Expert
BELOW MARKET
1st owner, 79k km — documents are clean on this Santro.
300-point inspection done. Warranty included.
Read full report",₹2.71 Lakh,"79,260 km","EMI from ₹6,726/mo",Petrol,Manual,1st Owner
Maruti Suzuki Grand Vitara Alpha,https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-alpha-cars-Kolkata_50284b9e-462b-4592-8769-76b5e1e4871c.htm,12.72L,2025,"21,377 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 21k km — papers are clean on this Grand Vitara.
Only 1 years old — near-new at used-car pricing.
Read full report",₹12.72 Lakh,"21,377 km
Below avg","EMI from ₹31,584/mo",Petrol,Manual,1st Owner
Tata Tiago XTA AMT,https://www.cardekho.com/used-car-details/used-Tata-tiago-xta-amt-cars-Kolkata_851313b3-2d1f-4370-9cc5-c00e54bc74da.htm,5L,2023,"18,000 kms",Petrol,Automatic,"Mahestala, Kolkata","AI Expert
GREAT PRICE
2nd owner, 18k km — key checks pass on this Tiago.
Only 18k km — lower than 90% of similar Tiagos on CarDekho.
Read full report",₹5 Lakh,"18,000 km
Below avg","EMI from ₹12,411/mo",Petrol,Automatic,2nd Owner
MG Hector Sharp DCT,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-Kolkata_ffc47d5d-a9c8-4d6d-a6a4-d30ba3e0f437.htm?adId=29723&adType=41,8.65L,2019,"65,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 65k km — ownership is clean on this Hector.
Read the full verdict before you decide.
Read full report",₹8.65 Lakh,"65,000 km","EMI from ₹21,470/mo",Petrol,Automatic,1st Owner
Honda Amaze S Option i-VTEC,https://www.cardekho.com/used-car-details/used-Honda-amaze-s-option-i-vtec-cars-Kolkata_0ae347dc-6a42-46f3-9ffa-62978fb1e031.htm,2.89L,2017,"28,125 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
2nd owner, 28k km — key checks pass on this Amaze.
Price dropped ₹31k — now at ₹2.9L.
Read full report",₹2.89 Lakh,"28,125 km
Below avg","EMI from ₹8,942/mo",Petrol,Manual,2nd Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Kolkata_fe11b97b-5b3e-4427-9089-6f4bc9d9ea04.htm,2.95L,2015,"49,187 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 49k km — key checks pass.
Comprehensive insurance — valid till June 2027.
Read full report",₹2.95 Lakh,"49,187 km","EMI from ₹23,901/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 Nios Magna,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-nios-magna-cars-Kolkata_f5b29efd-dd90-4101-99d7-4248cfe1156e.htm,4.15L,2021,"51,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 51k km — papers are clean on this Grand i10 Nios.
Hyundai has a wide service network across India.
Read full report",₹4.15 Lakh,"51,000 km","EMI from ₹10,301/mo",Petrol,Manual,1st Owner
Hyundai Aura S AMT,https://www.cardekho.com/used-car-details/used-Hyundai-aura-s-amt-cars-Kolkata_c13f913e-eb5d-4c14-8408-e1c02c2178cf.htm?adId=33050&adType=41,6.55L,2022,"13,533 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 14k km — history looks clean on this Aura.
Only 14k km — lower than 98% of similar Auras on CarDekho.
Read full report",₹6.55 Lakh,"13,533 km
Below avg","EMI from ₹16,258/mo",Petrol,Automatic,1st Owner
